"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2309-NODE/6903988254","","Torreta","35.550347","-5.369092","","","0","","","","0","",""
"2309-NODE/8196766607","","Lafarge","35.598447","-5.481881","","","0","","","","0","",""
"2309-NODE/8196766606","","Bounazzal 2","35.593743","-5.477583","","","0","","","","0","",""
"2309-NODE/8196766605","","Bounazzal 1","35.59086","-5.475178","","","0","","","","0","",""
"2309-NODE/8196766604","","Piste Lawta","35.583624","-5.4707","","","0","","","","0","",""
"2309-NODE/8196766603","","Usine De Carreaux","35.573931","-5.466853","","","0","","","","0","",""
"2309-NODE/8188220747","","Cité Universitaire","35.596147","-5.328553","","","0","","","","0","",""
"2309-NODE/8196766601","","Maison Renault","35.565462","-5.461584","","","0","","","","0","",""
"2309-NODE/8188220745","","Aéroport","35.591093","-5.334134","","","0","","","","0","",""
"2309-NODE/6897145541","","Terrain Saniat Rmel","35.574079","-5.34879","","","0","","","","0","",""
"2309-NODE/8188220749","","Mohamed El Yazidi","35.592358","-5.339615","","","0","","","","0","",""
"2309-NODE/8196766609","","Machachates","35.612471","-5.492895","","","0","","","","0","",""
"2309-NODE/8196766608","","Rwida","35.604676","-5.484319","","","0","","","","0","",""
"2309-NODE/6898503457","","Laalaouia","35.638404","-5.446945","","","0","","","","0","",""
"2309-NODE/8196047483","","Jamaa Mezouak","35.574064","-5.396166","","","0","","","","0","",""
"2309-NODE/8196047482","","Ancienne Gare","35.566288","-5.366464","","","0","","","","0","",""
"2309-NODE/8196909139","","Laalaouia","35.638389","-5.447","","","0","","","","0","",""
"2309-NODE/6899208014","","Beni Hassan","35.318969","-5.356677","","","0","","","","0","",""
"2309-NODE/8188018836","","Bennouna Boussafou","35.594573","-5.347823","","","0","","","","0","",""
"2309-NODE/8191229022","","Mosquée El Kabdani","35.576656","-5.410818","","","0","","","","0","",""
"2309-NODE/8191229020","","Pharmacie 2000","35.570268","-5.401683","","","0","","","","0","",""
"2309-NODE/8191229021","","Résidence El Wikaya","35.575509","-5.408586","","","0","","","","0","",""
"2309-NODE/8188220737","","Mohamed Al Kharaz 1","35.578472","-5.361366","","","0","","","","0","",""
"2309-NODE/8188220736","","Souk Ziana","35.57714","-5.362725","","","0","","","","0","",""
"2309-NODE/8188220735","","Ziana","35.57547","-5.363354","","","0","","","","0","",""
"2309-NODE/8188220734","","Bab Saida","35.573161","-5.363073","","","0","","","","0","",""
"2309-NODE/8188220733","","Bab El Okla","35.570454","-5.363464","","","0","","","","0","",""
"2309-NODE/6899170969","","Grt Louha","35.558152","-5.412594","","","0","","","","0","",""
"2309-NODE/8188220739","","Mohamed Al Kharaz 3","35.581648","-5.356167","","","0","","","","0","",""
"2309-NODE/8188220738","","Mohamed Al Kharaz 2","35.579394","-5.35896","","","0","","","","0","",""
"2309-NODE/6900317890","","Marjane","35.602661","-5.336157","","","0","","","","0","",""
"2309-NODE/6899234179","","Saf Al Hamam 1","35.555183","-5.378905","","","0","","","","0","",""
"2309-NODE/8188287499","","Cheikh Ben Larbi Alaoui","35.579146","-5.362099","","","0","","","","0","",""
"2309-NODE/8188287498","","Haj Mohamed Bennouna 1","35.580936","-5.360593","","","0","","","","0","",""
"2309-NODE/8188287495","","Mokhtar Soussi","35.58889","-5.35848","","","0","","","","0","",""
"2309-NODE/8188287497","","Haj Mohamed Bennouna 2","35.583598","-5.358729","","","0","","","","0","",""
"2309-NODE/6899069778","","Aakbat El Halouf 1","35.565084","-5.368615","","","0","","","","0","",""
"2309-NODE/6910361864","","Haj Mohamed Bennouna 2","35.583652","-5.358815","","","0","","","","0","",""
"2309-NODE/6910361862","","Fatima Al Fihria","35.585394","-5.358776","","","0","","","","0","",""
"2309-NODE/6910361863","","Mokhtar Soussi","35.588894","-5.358506","","","0","","","","0","",""
"2309-NODE/6897143972","","Palais Riad","35.58871","-5.324263","","","0","","","","0","",""
"2309-NODE/8196697930","","El Contro","35.429415","-5.11748","","","0","","","","0","",""
"2309-NODE/8196697931","","Oued Laou","35.423066","-5.121831","","","0","","","","0","",""
"2309-NODE/6906735333","","Ain Lahcen","35.548172","-5.554703","","","0","","","","0","",""
"2309-NODE/6906735337","","Abattoirs","35.567044","-5.407162","","","0","","","","0","",""
"2309-NODE/8197425149","","Café El Mrabet","35.41423","-5.384612","","","0","","","","0","",""
"2309-NODE/8197425148","","Kchoue","35.423467","-5.392225","","","0","","","","0","",""
"2309-NODE/8197425141","","El Ksab","35.482658","-5.411471","","","0","","","","0","",""
"2309-NODE/8197425140","","Barrage Martil","35.487016","-5.419917","","","0","","","","0","",""
"2309-NODE/8197425143","","Moulay Abdessalam","35.460207","-5.404484","","","0","","","","0","",""
"2309-NODE/8197425142","","Zinat","35.470438","-5.402816","","","0","","","","0","",""
